Barrier ID,Site Name,Structure Status,Structure Rank,Average Habitat Upstream of Structure (km),Actual Habitat Upstream of Structure (km)
125788,Natazutlo Cr @ Kazchek FSR (125788),Data-deficient barrier,1,0.42,0.42
1020001538,Dust Cr @ branch of Beaverdale Rd (1020001538),Unassessed structure,2,2.1675,4.78
1200000016,Glusky Cr beaver dam (SAK-1/1200000016),Priority barrier,3,2.1675,0.31
1200000013,Tarnezell Cr beaver dam (1200000013),Unassessed structure,4,2.1675,1.32
1020000184,Teegee Creek @ unnamed (1020000184),Unassessed structure,5,2.806,0.12
204010,Teegee Cr @ Branch off Driftwood FSR (TAK-5/20001252),Data-deficient barrier,5,10.15,10.15
204008,Teegee Cr @ Driftwood FSR (TAK-7/20000644),Data-deficient barrier,5,1.69,1.69
1200000035,Teegee Cr @ Branch off Old Driftwood Rd (TAK-8/20000182),Data-deficient barrier,5,4.155,0.86
203996,Teegee Cr @ Fall Rd (FAL-2/20000645),Data-deficient barrier,5,8.86,8.86
1200000012,Paula Cr beaver dam 1 (1200000012),Unassessed structure,6,9.31,9.31
1200000017,Paula Cr beaver dam 2 (1200000017),Unassessed structure,6,4.155,7.45
1200000034,Tezzeron Cr @ Beaver dam (Inzana FSR) (GER-3/12600461),Data-deficient barrier,7,4.73,4.73
1200000018,Sandpoint Cr beaver dam (1200000018),Unassessed structure,8,4.85,4.85
1019301069,Pitka Cr @ Private 1 (1019301069),Unassessed structure,9,2.806,4.23
1019301062,Pitka Cr @ Private 2 (1019301062),Unassessed structure,9,0.65,0.65
1019300424,Pitka Cr @ Private 3 (1019300424),Unassessed structure,9,16.07,16.07
204001,Pitka Cr @ Frost Rd (PIT-4/19300009),Data-deficient barrier,9,2.4,2.4
203995,MacDougall Cr @ 900 FSR (SAK-3/20001205),Data-deficient barrier,10,2.806,6.74
204004,Prairie Meadow Rd @ Hampton Lumber (PMC-2/19301094),Data-deficient barrier,11,2.1675,2.26
