Barrier ID,Site Name,Watershed Name ,Structure Type,Reason for Exclusion ,Reason Details,Supporting Links
1004300374,ANK-02A,Driftwood River,Stream crossing - CBS,No key upstream habitat,No stream,
1013501298,KAZ-1.1,Middle River,Stream crossing - CBS,No key upstream habitat,Site not naturally accessible to salmon,
1020001275,TAK-2 (1020000018),Takla Lake,Stream crossing - OBS,Passable,CN database indicates that this is a bridge,
125711,125711,Stuart Lake,Stream crossing - CBS,Passable,Scores as potential barrier but determined to be passable to fish in field. ,
203983,19300000,Stuart Lake,Stream crossing - OBS,Passable,OBS bridge,
203984,19200001,Stuart Lake,Stream crossing - CBS,Passable,Passable,
203985,Narrows Cr (20000238),Takla Lake,Stream crossing - OBS,Passable,,
203988,Trib 2 to Middle R @ Leo Cr FSR (KAZ-1.2/13501024),Middle River,Stream crossing - CBS,No key upstream habitat,,
203989,20001201,Takla Lake,Stream crossing - OBS,Passable,OBS bridge,
203992,Trib 1 to Middle R @ Austin FSR (MID-1/13500698),Middle River,Stream crossing - CBS,No key upstream habitat,,
203998,12601069,Lower Trembleur Lake,Stream crossing - OBS,Passable,OBS bridge,
203999,12600939,Lower Trembleur Lake,Stream crossing - OBS,Passable,OBS bridge,
204000,20000196,Takla Lake,Stream crossing - OBS,Passable,OBS bridge,
204006,19300993,Stuart Lake,Stream crossing - OBS,Passable,OBS bridge.,
204009,20001048,Takla Lake,Stream crossing - OBS,Passable,OBS bridge,
1024727615,,Takla Lake,None,No structure,Confirmed no structure during trib-by-trib review,
1020000195,TAK-10,Takla Lake,None,No structure,No structure,
1020001125,TAK-13,Takla Lake,None,No structure,No structure,
1020000192,TAK-6,Takla Lake,None,No structure,No structure,
1020001309,Frypan Cr @ (1020001309),Takla Lake,None,No structure,Modeled crossing is on a road that was never built,
1013500133,SAK-2,Middle River,None,No structure,No structure,
1013500137,KAZ-2,Middle River,None,No structure,No structure,
1020001718,SAK-6,Takla Lake,None,No structure,No structure,
1024723775,,Takla Lake,None,No structure,Confirmed no structure during trib-by-trib review,
1020001391,Lovell Cr @ unnamed FSR 2 (1020001391),Takla Lake,None,No structure,Modeled structure is based on a road that was never built,
1013500985,ELL-1,Takla Lake,None,No structure,no structure,
1024200092,TAR-2,Upper Trembleur Lake,None,No structure,No structure,
ANK-02B,ANK-02B,Driftwood River,None,No structure,No structure,
1020001291,FAL-1,Takla Lake,None,No structure,No structure,
1019301201,1-Mar,Stuart Lake,None,No structure,No structure,
1020001700,Lovell Cr @ unnamed FSR 1 (1020001700),Takla Lake,None,No structure,Modeled crossing is based on a road that was never built ,
1012600263,GER-2,Lower Trembleur Lake,None,No structure,No structure,
1020001828,SAK-4,Takla Lake,None,No structure,No structure,
