Name,Affiliation
Lisa Wilson,Yekooche First Nation
Partner Schielke,Yekooche First Nation
Linda Stevens,Upper Fraser Fisheries Conservation Alliance
Gord Sterritt,Upper Fraser Fisheries Conservation Alliance
Kirby Johnnie,Tl’azt’en Nation
Darren Haskell,Tl’azt’en Nation
Ron Winser,Tl’azt’en Nation
Keith West,Takla Nation
Cory Williamson,Takla Nation
Rosemarie Sam,Nak’azdli Whut’en
Pete Erickson,Nak’azdli Whut’en
Dwayne Martin,Binche Whut’en
Nigel Duncan,Binche Whut’en
Luc Turcotte,B.C. Ministry of Forests
John DeGagne,B.C. Ministry of Forests
Teri Ridley,Fisheries and Oceans Canada
Robin Hawes,Fisheries and Oceans Canada
Claire Menendez,Fisheries and Oceans Canada
Sarah Sra,Canadian Wildlife Federation
Betty Rebellato,Canadian Wildlife Federation
Olga Koppel,Canadian Wildlife Federation
