aggregated_crossings_id,barrier_id,internal_name,crossing_source,crossing_feature_type,crossing_type_code,barrier_status,transport_line_structured_name_1,rail_track_name,blue_line_key,watercourse_name,road_name,structure_type,structure_owner,private_owner_details,structure_list_status,assessment_type_completed,reason_for_exclusion,method_of_exclusion,partial_passability,partial_passability_notes,upstream_habitat_quality,constructability,estimated_cost_$,priority,type_of_rehabilitation,rehabilitated_by,rehabilitated_date,estimated_rehabilitation_cost_$,actual_project_cost_$,next_steps,timeline_for_next_steps,lead_for_next_steps,others_involved_in_next_steps,reason,notes,supporting_links,modelled_crossing_id,pscis_status,crossing_subtype_code,pscis_road_name,pscis_stream_name,pscis_assessment_comment,pscis_assessment_date,dam_name,dam_height,dam_owner,dam_use,dam_operating_status,utm_zone,utm_easting,utm_northing,downstream_route_measure,wscode,localcode,watershed_group_code,gnis_stream_name,barriers_anthropogenic_dnstr,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_habitat_wcrp_upstr,barriers_anthropogenic_habitat_wcrp_upstr_count,barriers_ch_cm_co_pk_sk_dnstr,barriers_st_dnstr,barriers_wct_dnstr,ch_spawningrearing_km,ch_spawningrearing_belowupstrbarriers_km,sk_spawningrearing_km,sk_spawningrearing_belowupstrbarriers_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_spawningrearing_set_id,ch_spawningrearing_total_hab_gain_set,ch_spawningrearing_num_barriers_set,ch_spawningrearing_avg_gain_per_barrier,ch_spawningrearing_dnstr_set_ids,ch_spawningrearing_rank_avg_gain_per_barrier,ch_spawningrearing_rank_avg_gain_tiered,ch_spawningrearing_rank_total_upstr_hab,ch_spawningrearing_rank_combined,ch_spawningrearing_tier_combined,sk_spawningrearing_set_id,sk_spawningrearing_total_hab_gain_set,sk_spawningrearing_num_barriers_set,sk_spawningrearing_avg_gain_per_barrier,sk_spawningrearing_dnstr_set_ids,sk_spawningrearing_rank_avg_gain_per_barrier,sk_spawningrearing_rank_avg_gain_tiered,sk_spawningrearing_rank_total_upstr_hab,sk_spawningrearing_rank_combined,sk_spawningrearing_tier_combined,all_spawningrearing_set_id,all_spawningrearing_total_hab_gain_set,all_spawningrearing_num_barriers_set,all_spawningrearing_avg_gain_per_barrier,all_spawningrearing_dnstr_set_ids,all_spawningrearing_rank_avg_gain_per_barrier,all_spawningrearing_rank_avg_gain_tiered,all_spawningrearing_rank_total_upstr_hab,all_spawningrearing_rank_combined,all_spawningrearing_tier_combined,label_in_wcrp
1004300283,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356357053,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300283,,,,,,,,,,,,9,654106,6203011,2001.312034,100.567134.179319.815989.532920.992397.529064.127697,100.567134.179319.815989.532920.992397.529064.127697.048751,DRIR,,,0,,,,,,4.42,4.42,0,0,4.42,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1004300370,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,Ankwill FSR,,356359507,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300370,,,,,,,,,,,,9,669458,6178303,122.3716098,100.567134.179319.815989.532920.992397.088642,100.567134.179319.815989.532920.992397.088642,DRIR,,,0,,,,,,4.23,4.23,2.66,2.66,4.23,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1004300374,1004300374,ANK-02A,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,Ankwill FSR,,356275457,Tributary to Driftwood River,Ankwill Creek FSR,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,Field assessment,,,,,,,,,,,,,,,,No stream,Culvert not located on a stream. ,,4300374,,,,,,,,,,,,9,671692,6176233,669.2062271,100.567134.179319.815989.532920.992397.026266,100.567134.179319.815989.532920.992397.026266,DRIR,,,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1004300434,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356363562,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300434,,,,,,,,,,,,9,657004,6191485,2704.088113,100.567134.179319.815989.532920.992397.376822,100.567134.179319.815989.532920.992397.376822.133141,DRIR,,,0,,,,,,0.14,0.14,0,0,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1012600749,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,Rainbow-Pipe FSR,,356357268,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600749,,,,,,,,,,,,10,432577,6097050,21487.28352,100.567134.179319.815989.290384.989223.621436,100.567134.179319.815989.290384.989223.621436.644685,LTRE,,,0,,,,,,0.66,0.66,0,0,0.66,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1012600942,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356363465,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600942,,,,,,,,,,,,10,399861,6072236,5880.487628,100.567134.179319.815989.290384.710664,100.567134.179319.815989.290384.710664.104581,LTRE,Grostete Creek,,0,,,,,,5.66,5.66,0,0,5.66,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1012601231,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356363465,,,,,,,,,,,,,,,,,,,,,,,,,,,,12601231,,,,,,,,,,,,10,392997,6076924,20835.92119,100.567134.179319.815989.290384.710664,100.567134.179319.815989.290384.710664.430527,LTRE,Grostete Creek,,0,,,,,,3.64,3.64,0,0,3.64,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1013501298,1013501298,KAZ-1.1,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,Kazchek FSR,,356342180,Tributary to Middle River,300 FSR,Stream crossing - CBS,,,Excluded structure,Barrier assessment,No key upstream habitat,Field assessment,,,,,,,,,,,,,,,,Site not naturally accessible to salmon,Natural falls/cascade 20 m downstream. No modeled accessible habitat,,13501298,,,,,,,,,,,,10,342762,6102899,871.5374767,100.567134.179319.815989.532920.279524,100.567134.179319.815989.532920.279524,MIDR,,,0,,,2.25457E+13,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1019300200,,,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",OBS,PASSABLE,,,356358537,,,,,,,,,,,,,,,,,,,,,,,,,,,,19300200,,,,,,,,,,,,10,404025,6026941,15185.72131,100.567134.179319.630270,100.567134.179319.630270.290487,STUL,Sowchea Creek,,0,,,,,,13.88,13.88,4.38,4.38,13.88,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1019300290,1019300290,Whitefish Cr @ branch off 6300 Rd (1019300290) ,MODELLED CROSSINGS,"ROAD, RESOURCE/OTHER",CBS,POTENTIAL,,,356364687,,,,,,,,,,,,,,,,,,,,,,,,,,,,19300290,,,,,,,,,,,,10,368058,6049635,8917.534428,100.567134.179319.910475,100.567134.179319.910475.290201,STUL,Whitefish Creek,,0,,,,,,0.42,0.42,23.41,23.41,23.41,23.41,622,0.42,1,0.42,,14,22,14,14,B,2172,23.41,1,23.41,,2,2,2,2,A,312,23.41,1,23.41,,3,3,3,3,A,yes
