Barrier ID,Site Name,Structure Status,Structure Rank,Average Habitat Upstream of Structure (km),Actual Habitat Upstream of Structure (km)
125788,Natazutlo Cr @ Kazchek FSR (125788),Unassessed structure,1,23.41,23.41
1019300290,Whitefish Cr @ branch off 6300 Rd (1019300290) ,Unassessed structure,2,2.136666667,4.78
1200000013,Tarnezell Cr beaver dam (1200000013),Unassessed structure,3,2.136666667,0.31
203995,MacDougall Cr @ 900 FSR (SAK-3/20001205),Unassessed structure,4,2.136666667,1.32
1200000018,Sandpoint Cr beaver dam (1200000018),Unassessed structure,5,1.11,0.12
1019301069,Pitka Cr @ Private 1 (1019301069),Unassessed structure,6,0.33,0.33
1019301062,Pitka Cr @ Private 2 (1019301062),Unassessed structure,6,1.12,1.12
1019300424,Pitka Cr @ Private 3 (1019300424),Unassessed structure,6,3.17,3.17
1020001538,Dust Cr @ branch of Beaverdale Rd (1020001538),Unassessed structure,7,2.61,0.87
1200000012,Paula Cr beaver dam 1 (1200000012),Unassessed structure,8,16.5,16.5
1200000017,Paula Cr beaver dam 2 (1200000017),Unassessed structure,8,2.76,2.76
1200000014,Van Decar Cr log jam (1200000014),Unassessed structure,9,0.1,0.1
62678,Trib 2 to Stuart L @ Tachie Rd (62678),Priority barrier,10,2.71,2.71
124706,Trib 1 to Stuart Lk @ Leo FSR (124706),Unassessed structure,10,2.61,4.35
1200000016,Glusky Cr beaver dam (SAK-1/1200000016),Unassessed structure,11,4.53,4.53
1020001281,Tliti Cr @ Railway (1020001281),Data-deficient barrier,12,2.28,2.7
1020000184,Teegee Creek @ unnamed (1020000184),Data-deficient barrier,13,58.85,58.85
204010,Teegee Cr @ Branch off Driftwood FSR (TAK-5/20001252),Data-deficient barrier,13,0.1,0.14
1020000927,25 Mile Cr @ Unnamed FSR (1020000927),Data-deficient barrier,14,0.1,0.06
1200000015,Crow Creek log jam (12000000015),Data-deficient barrier,15,0.25,0.25
203990,Trib 1 to Stuart Lk @ Branch of Leo FSR (LEO-1/19301000),Data-deficient barrier,16,5.6,5.6
203987,Trib 1 to Stuart Lk @ Branch of Leo FSR (LEO-2/19300003),Data-deficient barrier,17,0.02,0.02
203986,Trib 1 to Stuart Lk @ Branch off Leo FSR (LEO-3/19302252),Data-deficient barrier,17,1.11,2.1
204008,Teegee Cr @ Driftwood FSR (TAK-7/20000644),Data-deficient barrier,18,2.28,1.86
