Structure Count - Sockeye,total
Total ranked structures,24
Structures that potentially disconnect habitat,24
Rehabilitated barriers,0
Non-actionable barriers,0
Priority barriers,1
Data-deficient barriers,9
Unassessed structures,14
Structures that require further field assessment (data-deficient barriers + unassessed structures),23
,
Structure Count - Chinook,total
Total ranked structures,22
Structures that potentially disconnect habitat,22
Rehabilitated barriers,0
Non-actionable barriers,0
Priority barriers,1
Data-deficient barriers,10
Unassessed structures,11
Structures that require further field assessment (data-deficient barriers + unassessed structures),21
